Denominacao - GBS,,n_bag,,nome,TA (teor de amilose) Goiania 2004,TA Goiania 2005,TA Uruguaiana,TA Boa Vista,TA Pelotas 2005,TA Vilhena
437,TERRAS ALTAS,CA800166,BGA 12861,AGULH�O,20,23,24,19,24,27
439,TERRAS ALTAS,CA800172,BGA 12867,DESCONHECIDO (COME CR�),23,21,20,19,19,20
440,TERRAS ALTAS,CA800173,BGA 12868,CHAT�O (BURIT�),27,25,22,26,24,24
441,TERRAS ALTAS,CA800177,BGA 12872,AGULH�O,22,25,23,26,24,24
442,TERRAS ALTAS,CA800180,BGA 12875,AGULHINHA (CANA ROXA),,23,,24,,25
446,TERRAS ALTAS,CA810012,BGA 12899,TERRA PRETA / PACHOLINHA,27,25,23,22,25,25
448,TERRAS ALTAS,CA810017,BGA 12904,ARROZ DE MORRO,26,24,23,25,22,24
460,TERRAS ALTAS,CA810049,BGA 12936-2,SAMAMBAIA BRANCO,23,26,24,27,23,24
464,TERRAS ALTAS,CA810065,BGA 12952,VERMELHINHO,26,25,22,25,23,27
467,TERRAS ALTAS,CA810067,BGA 12954,SAIA VELHA,32,28,25,29,,
468,TERRAS ALTAS,CA820017,BGA 12976,PRAT�O / 4 MESES,29,26,24,25,23,27
469,TERRAS ALTAS,CA820019,BGA 12978,SANTA AM�RICA,21,25,23,24,25,28
470,TERRAS ALTAS,CA820040,BGA 12999,JAGUARIZINHO,25,26,21,23,24,28
472,TERRAS ALTAS,CA820062,BGA 13020,AGULH�O,26,27,23,25,,
474,TERRAS ALTAS,CA820071,BGA 13029,CANHOTO,26,26,23,25,25,24
475,TERRAS ALTAS,CA820073,BGA 13031,AGULHINHA,23,24,,25,,24
476,TERRAS ALTAS,CA820083,BGA 13041,BICO PRETO / 4 MESES,26,23,23,23,23,27
477,TERRAS ALTAS,CA820092,BGA 13050,CHAT�O AMARELO,28,25,24,25,24,26
478,TERRAS ALTAS,CA820103,BGA 13061,CAROLINO,26,24,22,21,20,26
485,TERRAS ALTAS,CA830005,BGA 13071,PRAT�O DE S�O PAULO,24,25,23,25,25,26
486,TERRAS ALTAS,CA830032,BGA 13098,BOLINHA/CATETINHO,27,26,22,22,25,23
487,TERRAS ALTAS,CA830035,BGA 13101,TOMBA MORRO,26,26,24,27,24,26
488,TERRAS ALTAS,CA830045,BGA 13111,AGULHINHA BRANCO/AMERICANO,24,25,,26,22,24
